"성별(1)","특성별(1)",특성별(2),2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"성별(1)","특성별(1)",특성별(2),응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차
"여자","연령별1",40-49세,624,77.0,2.1,600,74.6,1.8,557,74.8,1.9,594,70.3,2.0,536,75.4,2.0,554,78.6,1.8,624,76.9,1.9,626,81.0,1.7,652,79.5,1.9,624,76.4,1.9,546,75.1,2.0,520,74.5,2.2,513,78.0,2.0
"여자","연령별1",50-59세,684,65.1,2.2,674,62.1,2.5,633,61.6,2.4,598,62.9,2.1,596,62.0,2.2,647,66.4,2.1,641,67.7,2.0,665,66.7,2.2,687,66.8,2.1,689,64.3,2.1,579,66.1,2.3,605,64.6,2.2,521,66.8,2.3
"여자","연령별1",60-69세,550,48.0,2.6,565,50.4,2.6,572,47.5,2.5,471,45.6,2.8,514,46.6,2.6,532,53.9,2.7,558,49.3,2.7,620,54.4,2.7,601,54.3,2.3,625,52.5,2.5,630,49.0,2.5,629,46.2,2.2,633,51.6,2.4
"여자","연령별1",70세이상,483,29.3,2.8,579,28.5,2.4,565,31.6,2.5,482,27.0,2.4,518,38.1,2.5,532,29.1,2.2,589,30.3,2.2,611,29.7,2.1,635,32.2,2.3,658,30.0,2.4,648,29.1,2.2,689,23.8,1.8,595,27.8,2.3
"여자","연령별2",19-64세,2758,74.1,1.2,2611,74.2,1.1,2453,72.0,1.1,2387,71.9,0.9,2283,72.9,1.2,2281,73.8,1.1,2570,74.0,1.1,2498,77.3,1.0,2561,75.9,1.0,2504,73.7,1.0,2304,73.7,1.2,2154,72.7,1.1,2077,75.4,1.1
"여자","연령별2",65세이상,758,34.6,2.2,845,34.5,2.3,829,35.6,2.1,699,31.5,2.1,762,39.1,2.0,777,36.2,1.8,854,36.3,2.0,903,36.1,1.8,910,37.4,1.9,945,36.0,2.0,927,32.7,1.9,999,29.6,1.5,892,32.9,1.9
"여자","거주지역별",동,2749,69.4,1.2,2769,69.2,1.3,2640,68.8,1.1,2507,66.2,1.0,2480,69.0,1.3,2488,68.8,1.3,2766,69.3,1.1,2783,71.2,1.1,2852,70.1,1.1,2782,67.3,1.1,2579,67.3,1.3,2455,66.3,1.2,2343,66.7,1.2
"여자","거주지역별",읍면,767,62.0,2.8,687,61.6,3.0,642,53.4,3.1,579,59.2,2.8,565,57.6,2.9,570,58.2,2.4,658,55.6,3.2,618,60.1,3.5,619,57.4,3.6,667,60.3,3.2,652,53.9,3.4,698,47.8,3.2,626,61.0,3.2
"여자","소득수준별",하,685,66.4,2.2,694,63.8,2.4,635,62.9,2.3,594,56.8,2.2,592,66.1,2.3,587,60.0,2.5,671,64.6,2.4,676,65.4,2.0,696,66.5,2.1,685,62.8,2.4,632,55.2,2.5,628,54.5,2.8,585,62.4,2.4
"여자","소득수준별",중하,711,68.1,2.5,680,66.3,2.0,664,64.8,2.4,605,62.3,2.2,604,64.9,2.2,618,66.4,2.3,684,65.7,2.4,681,67.7,2.1,695,70.7,1.9,680,60.1,2.3,637,64.0,2.4,615,67.5,2.2,596,66.7,2.2
"여자","소득수준별",중,691,68.5,2.3,680,68.8,2.6,639,69.4,2.4,634,65.7,2.0,606,67.6,2.3,613,65.5,2.6,695,64.0,2.0,679,74.0,2.0,693,67.3,1.8,686,68.7,2.3,650,68.3,2.4,637,65.5,2.1,592,67.1,2.4
"여자","소득수준별",중상,695,68.4,2.2,685,70.9,2.3,648,64.7,2.2,620,69.9,2.1,621,71.5,2.3,614,71.8,2.2,688,71.4,1.8,682,70.4,1.9,684,69.4,2.2,696,70.9,1.8,651,68.5,2.2,628,64.8,2.1,596,66.3,2.4
"여자","소득수준별",상,684,67.4,2.1,691,70.3,2.4,658,69.1,2.2,619,70.4,2.0,606,66.1,2.0,610,72.0,2.0,676,69.5,1.9,671,70.4,2.1,693,68.3,2.3,687,68.5,1.9,647,69.7,2.2,629,65.8,2.3,596,66.5,2.2
"여자","거주지역(표준화)별",동,2749,70.3,1.2,2769,70.8,1.1,2640,70.2,1.0,2507,69.1,0.9,2480,71.4,1.2,2488,71.6,1.1,2766,72.7,1.0,2783,75.4,0.9,2852,74.3,1.0,2782,72.0,1.0,2579,72.2,1.2,2455,71.7,1.0,2343,72.9,1.0
"여자","거주지역(표준화)별",읍면,767,70.6,2.5,687,72.9,2.4,642,64.0,3.6,579,67.1,2.1,565,67.2,2.5,570,66.0,2.5,658,63.9,3.0,618,70.6,2.5,619,68.2,2.2,667,71.4,2.9,652,66.6,2.5,698,62.8,3.8,626,75.6,2.4
"여자","소득수준(표준화)별",하,685,68.3,2.1,694,67.3,2.1,635,65.3,2.4,594,60.7,2.2,592,68.0,2.1,587,63.6,2.3,671,68.9,2.2,676,71.6,1.7,696,70.6,2.0,685,68.1,2.5,632,61.0,2.4,628,59.8,2.7,585,69.1,2.1
"여자","소득수준(표준화)별",중하,711,69.3,2.4,680,70.0,1.9,664,67.8,2.4,605,66.1,2.1,604,68.1,2.4,618,70.0,2.3,684,69.8,2.2,681,71.6,1.9,695,75.5,1.7,680,65.6,2.2,637,69.7,2.3,615,73.5,2.0,596,74.0,1.8
"여자","소득수준(표준화)별",중,691,71.6,2.1,680,72.3,2.5,639,72.8,2.0,634,69.2,1.8,606,72.0,2.1,613,68.8,2.4,695,68.2,2.0,679,78.8,1.7,693,72.9,1.7,686,74.2,2.1,650,74.7,2.1,637,73.5,1.7,592,73.5,2.2
"여자","소득수준(표준화)별",중상,695,71.9,2.0,685,74.4,1.9,648,68.9,2.3,620,73.2,1.9,621,75.3,2.2,614,75.3,2.3,688,74.8,1.6,682,76.7,1.8,684,75.0,2.0,696,75.7,1.7,651,74.3,2.1,628,72.6,2.0,596,73.6,2.1
"여자","소득수준(표준화)별",상,684,71.3,2.1,691,73.1,2.2,658,72.7,1.9,619,75.1,1.9,606,70.0,2.0,610,76.2,2.0,676,75.5,2.0,671,76.4,1.8,693,74.8,1.9,687,75.8,1.6,647,76.2,2.0,629,74.3,2.1,596,76.9,2.0
