식품군,식품,평균(g),표준오차(g),p1(g),p5(g),p10(g),p25(g),p50(g),p75(g),p90(g),p95(g),p99(g),n
채소류,시금치,14.54,1.73,0.05,0.13,0.77,1.41,5.18,20.95,44.8,56.59,87.53,107
채소류,새싹채소,1.27,0.52,0,0,0.01,0.02,0.19,0.5,4.93,9.12,10.63,48
채소류,쑥갓,3.21,0.77,0.16,0.29,0.38,0.82,1.87,3.96,6.1,8.86,21.18,61
채소류,양상추,49.83,10.27,0.58,4.5,10.14,17.2,27.04,49.42,135.6,153.42,234.88,39
채소류,양파,38.36,2.21,0.1,1.33,3.27,9.62,24.92,49.76,82.96,114.28,224.5,536
채소류,오이,18,1.63,0.26,0.68,1.91,4.03,9.29,23.2,42.35,50.44,108.89,205
채소류,"오이,피클",15.61,2.55,0.31,1.46,1.77,2.89,7.79,22.24,32.05,52.31,69.4,65
채소류,우엉,8.29,1.4,0.32,0.79,2.48,3.76,5.71,8.69,14.93,21.78,40.92,49
채소류,치커리,2.8,0.61,0.07,0.22,0.31,0.51,0.94,3.44,8.66,9.73,11.87,32
채소류,콩나물,22.1,2.39,0.06,0.3,1.74,5.15,16.34,28.79,56.74,67.37,109.73,152
채소류,토마토,65.42,15.18,0.08,0.26,0.43,4.23,13.24,70.37,154.25,343.01,721.38,92
채소류,파,14.3,1.33,0.1,0.62,0.97,3.21,7.9,16.26,30.38,43.71,91.36,542
채소류,파프리카,8.86,3.57,0.04,0.05,0.09,0.28,0.48,2.36,14.5,56.5,101.73,65
채소류,피망,5.06,0.46,0.08,0.22,0.39,1.27,3,5.67,12.22,16.22,28.01,163
채소류,애호박,18.86,2.15,0.09,0.31,0.63,2.39,8.88,21.78,41.12,74.73,134.66,216
채소류,채소국물,23.9,4.38,0.76,1.65,2.84,4.57,12.62,28.25,50.32,74.14,146.68,65
채소류,"파슬리,마른것",0.15,0.02,0,0,0.02,0.07,0.1,0.17,0.3,0.39,0.48,22
버섯류,느타리버섯,16.83,3.06,0.08,0.17,0.39,1.35,3.73,11.41,53.67,91.19,141.37,129
버섯류,"목이버섯,마른것",1.14,0.04,0.03,0.03,0.04,0.33,0.74,1.2,2.2,3.16,4.5,20
버섯류,양송이버섯,9.09,1.26,0.01,0.02,0.31,2.07,5.22,9.35,26.42,31.95,37.58,76
버섯류,팽이버섯,6.6,1.32,0.03,0.12,0.39,0.92,2.17,5.72,11.85,27.37,77.89,105
버섯류,표고버섯,6.67,0.94,0.07,0.16,0.24,0.84,2.36,7.18,15.31,25.84,68.26,139
과일류,귤,111.17,11.99,0.95,9.42,22.49,40.68,69.23,146.16,188.24,331.5,445.72,54
과일류,"대추,말린것",2.04,0.54,0.08,0.08,0.11,0.17,0.89,2.17,6.24,7.22,8.91,20
과일류,딸기,103.12,7.62,0.14,0.14,4.11,31.78,98.84,150.88,204,225.03,268.55,30
과일류,레몬,1.8,0.48,0.08,0.27,0.33,0.49,0.78,1.65,3.86,6.01,8.62,23
과일류,바나나,103.55,16.23,0.12,0.16,0.26,1.45,75.83,147.99,278.97,318.15,372.39,54
과일류,배,85.52,25.03,0.4,0.63,0.88,2.37,8.97,67.61,312.27,384.96,672.66,58
과일류,복숭아,127.11,51.42,0.09,0.21,0.4,0.73,1.75,188.85,380.45,482.94,758.03,39
과일류,사과,126.14,14.84,0.13,0.32,0.72,2.38,23.19,160.83,385.34,519.15,591.38,111
과일류,수박,170.64,16.39,0.25,0.25,1,77.88,120.89,216.98,358.29,387.53,453.65,24
